[Normal Axes]|en|ru
w_melee_ashbringer|Ashbringer|Испепелитель
w_melee_deaths_mirror|Death's Mirror|Зеркало смерти
w_melee_odins_battle_axe|Odin's Battle Axe|Боевой топор Одина
w_melee_gurags_stone_crusher|Gurag's Stone Crusher|Камнедробитель Гурага
w_melee_deaths_scythe|Death's Scythe|Коса смерти
w_melee_hiyokis_vorpal_katana|Hiyoki's Vorpal Katana|Разящая катана Хиёки
w_melee_hanzos_flaming_katana|Hanzo's Flaming Katana|Пылающая катана Ханзо
w_melee_genjis_sword_of_fate|Genji's Sword of Fate|Меч судьбы Гэндзи
w_melee_wind_guardians_gladius|Wind Guardian's Gladius|Гладиус стража ветра
w_melee_sand_crusaders_scimitar|Sand Crusader's Scimitar|Шамшир песчаного крестоносца
w_melee_azurewrath|Azure's Wrath|Лазурный гнев
w_melee_holy_warriors_phase_blade|Holy Warrior's Phase Blade|Фазовый клинок святого воина
w_melee_steves_mighty_sword|Steve's Mighty Sword|Могучий меч Стива
w_melee_st_gabriels_retribution|St. Gabriel's Retribution|Возмездие св. Гавриила
w_melee_thors_battle_sword|Thor's Battle Sword|Боевой меч Тора
w_melee_vikings_sacred_axe|Viking's Sacred Axe|Священный топор викинга
w_melee_nomads_sandslicer|Nomad's Sandslicer|Песчаный резак кочевника
w_melee_nobunagas_battle_slicer|Nobunaga's Battle Slicer|Боевой клинок Нобунаги
w_melee_molten_dagger|Molten Dagger|Раскаленный кинжал
w_melee_icy_shank|Icy Shank|Ледяная заточка
w_melee_darkness|Darkness|Тьма
w_melee_gladiators_wrecking_ball|Gladiator's Wrecking Ball|Гладиаторский шар-молот
w_melee_dantes_demon_blade|Dante's Demon Blade|Демонический клинок Данте
w_melee_shadow_carver|Shadow Carver|Резчик теней
w_melee_sacred_whip|Sacred Whip|Священный хлыст
w_melee_nightmare_slasher|Nightmare Slasher|Кошмарный крушитель
w_melee_frozen_carver|Frozen Carver|Ледяной резчик
w_melee_unholy_gods_flail|Unholy God's Flail|Цеп нечестивого бога
w_melee_molten_hammer|Molten Hammer|Раскаленный молот
w_melee_icy_crusher|Icy Crusher|Ледяной дробитель
w_melee_light_of_dawn|The Light of Dawn|Свет зари
w_melee_gladiators_skullcrusher|Gladiator's Skullcrusher|Сокрушитель черепов гладиатора
w_melee_masamune|Masamune|Масамунэ
w_melee_muramasa|Muramasa|Мурамаса
w_melee_crystal_infused_axe|Crystal Infused Axe|Кристаллический топор
w_melee_crystal_infused_sword|Crystal Infused Sword|Кристаллический меч
w_melee_sung_lees_destroyer_flail|Sung Lee's Destroyer Flail|Цеп-разрушитель Сунг Ли
w_melee_revenants_lasher|Revenant's Lasher|Плеть ревенанта
w_melee_bonettis_rapier|Bonetti's Rapier|Рапира Бонетти
w_melee_eternal_glaive|Eternal Glaive|Вечная глефа
w_melee_guts_bfs|Gut's BFS|Великий меч Гатса
w_melee_st_rexis_sundering_axe|St. Rexis Sundering Axe|Раскалывающий топор св. Рексиса
w_melee_sand_dagger|Sand Dagger|Песчаный кинжал
w_melee_thunder_dagger|Thunder Dagger|Громовой кинжал
w_melee_riftmasters_dirge|Riftmaster's Dirge|Дирдж мастера Разлома
w_melee_st_mikas_zweihander|St. Mika's Zweihänder|Цвайхандер св. Мики
w_melee_sanguine_blade|Sanguine Blade|Кровавый клинок
w_melee_pillar_of_niflheim|Pillar of Niflheim|Столп Нифльхейма
w_melee_grimbones_scythe|Grimbone's Scythe|Коса Гримбона
w_melee_ceremonial_dagger|Ceremonial Dagger|Церемониальный кинжал
w_melee_spiritus|Spiritus|Спиритус
w_melee_guts_hfs|Gut's HFS|HFS Гатса
w_melee_sahkopuimuri|Sähköpuimuri|Электромолотилка
w_melee_arch_angels_phase_blade|Arch Angel's Phase Blade|Фазовый клинок архангела
w_melee_gem_kings_cleaver|Gem King's Cleaver|Тесак Короля самоцветов
w_melee_winters_bite|Winter's Bite|Укус зимы
w_melee_wraith_forged_cleaver|Wraith Forged Cleaver|Призрачный тесак
w_melee_aurelion_fury|Aurelion Fury|Ярость Аурелиона
w_melee_abominations_gut_ripper|Abomination's Gut Ripper|Потрошитель мерзости
w_melee_rakhuls_legion_crusher|Rakhul's Legion Crusher|Сокрушитель легиона Рахула
w_melee_daisy|Daisy|Дейзи
w_melee_dawn_bringer|The Dawn Bringer|Приносящий зарю
w_melee_gabriels_broken_resolve|Gabriel's Broken Resolve|Сломленная решимость Габриэля
w_melee_the_hope_ender|The Hope Ender|Погибель надежды
w_melee_lucis_day|Luci's Day|День Люси
w_melee_glowstick_estoc|Glowstick Estoc|Сияющий эсток
w_melee_kings_executioner|Headsman´s Bloodthirster|Кровожадный тесак палача
w_melee_shishkebab|Shishkebab|Шиш-кебаб
w_melee_stormslayer|Stormslayer|Истребитель штормов
w_melee_blood_moon_crescent|Blood Moon Crescent|Полумесяц кровавой луны
w_melee_stofflix_cooking_cleaver|Stofflix Cooking Cleaver|Кулинарный тесак Стоффликса
w_melee_doom_cutter|Doom Cutter|Резак рока
w_melee_pit_fighters_skullcracker|Pit Fighter´s Skullcracker|Череполом бойца ямы
w_melee_pit_fighters_brutalizer|Pit Fighter´s Brutalizer|Брутализатор бойца ямы
w_melee_metal_vocalists_warlock|Metal Vocalist´s Warlock|Варлок метал-вокалиста
w_melee_fenrirs_bloodfang|Fenrir´s Bloodfang|Кровавый клык Фенрира
||
lore_w_melee_st_mikas_zweihander|Over the ages, Saint Mika's Zweihander became a relic passed down through the generations to those deemed worthy of its immense power. Many sought the sword for their own ambitions, but only those who held wisdom in their hearts and remained humble in the face of its might could unlock its true potential.|На протяжении веков Цвайхандер святого Мики передавался как реликвия тем, кто был достоин его великой силы. Многие желали этот меч ради личных амбиций, но лишь мудрые сердцем и смиренные пред его мощью могли раскрыть его истинный потенциал.
lore_w_melee_st_rexis_sundering_axe|This axe does not belong to a saint in the traditional sense, for he did not follow the path of divinity or devotion to a particular deity. Instead, Saint Rexi was a warrior of unparalleled skill and valor, revered by the people as a guardian and protector.|Этот топор не принадлежал святому в привычном смысле слова. Рекси не искал божественного пути, но был воином непревзойденной доблести, которого народ почитал как своего защитника.
lore_w_melee_riftmasters_dirge|The mysterious wizard at the edge of the universe enchanted this blade at the expense of a black hole.|Таинственный чародей на краю вселенной наложил чары на этот клинок, использовав мощь черной дыры.
lore_w_melee_sung_lees_destroyer_flail|Brutal weapon of the warlord Sung Lee to bring carnage and death to anyone on it's path.|Жестокое оружие военачальника Сунг Ли, несущее резню и смерть любому, кто встанет на пути.
lore_w_melee_light_of_dawn|As the first light of dawn fills the vision of a hero after a night of terror, hope fills his heart as he presses on.|Когда первые лучи зари предстают взору героя после ночи ужаса, надежда наполняет его сердце, давая силы идти вперед.
lore_w_melee_st_gabriels_retribution|Beware those who follow the path of the wicked and sin, as the punishment is coming from above.|Берегитесь те, кто идет путем нечестивых, ибо кара падет с небес.
lore_w_melee_bonettis_rapier|Tarethiel's finest swordsman's arsenal is believed to be buried with them during the siege of Damien.|Считается, что арсенал величайшего фехтовальщика Таретиэля был погребен вместе с ним во время осады Дэмиена.
lore_w_melee_grimbones_scythe|A grim death awaits the victims of this scythe, as it reaps the soul from the corpse.|Мрачная смерть ждет жертв этой косы, ибо она исторгает душу из плоти.
lore_w_melee_shadow_carver|The Scythe of death so vicious and sharp it is rumored to cut shadows in half.|Коса смерти настолько остра, что, по слухам, способна рассечь саму тень.
lore_w_melee_sahkopuimuri|A thinning tool with no competition.|Орудие жатвы, не знающее равных.
lore_w_melee_arch_angels_phase_blade|Ascended from the heavens to be wielded by the worthy.|Снизошел с небес, чтобы служить достойнейшим.
lore_w_melee_gem_kings_cleaver|In a hall bedecked with jewels, the king, consumed by greed, bestows his blessings at a cost.Insert Pristine Gems to unlock ancient powers.|В чертогах, украшенных самоцветами, король, ослепленный жадностью, дарует свою милость за высокую цену. Вставьте безупречные камни, чтобы пробудить древнюю силу.
lore_w_melee_winters_bite|The only axe able to endure the lowest of sub zero conditions frostforged by an ancient god of war..|Единственный топор, способный выдержать запредельный холод. Выкован в морозном пламени древним богом войны...
lore_w_melee_wraith_forged_cleaver|Wielded by the shadowy creatures lurking in the depths of Helheim..|Оружие темных тварей, таящихся в глубинах Хельхейма...
lore_w_melee_aurelion_fury|Once wielded by Koios, eternal god of the cosmos.. Approach with caution..|Когда-то этот клинок принадлежал Кою, вечному богу космоса... Приближайтесь с осторожностью...
lore_w_melee_abominations_gut_ripper|Stitched together from 7 fallen warrior's who performed deadly sins.. An ancient monstrosity forged this blood infused weapon of death..|Сшитый из останков семи павших воинов, совершивших смертные грехи... Древнее чудовище выковало это пропитанное кровью оружие смерти...
lore_w_melee_rakhuls_legion_crusher|Imbued by the blood of fallen gladiators within King Rakhul's colosseum..|Окроплен кровью павших гладиаторов в колизее короля Рахула...
lore_w_melee_daisy|The bond shared between Daisy and the Butcher is bloody eternal.. Beautiful like a pile of corpses on a rainy morning..|Связь между Дейзи и Мясником скреплена кровью навечно... Она прекрасна, как гора трупов дождливым утром...
lore_w_melee_dawn_bringer|Wielded by the fallen angel Lucifer.. A divine flail fueled by eternal hatred.|Оружие падшего ангела Люцифера... Божественный цеп, ведомый вечной ненавистью.
lore_w_melee_gabriels_broken_resolve|An unholy tool of execution, wielded by the fallen angel Gabriel..|Нечестивое орудие казни, принадлежавшее падшему ангелу Гавриилу...
lore_w_melee_the_hope_ender|A cursed sword enhanced by rage and forged from pure hatred..|Проклятый меч, закаленный в ярости и выкованный из чистой ненависти...
lore_w_melee_lucis_day|Eeny.. Meeny.. Miny.. Moe..|Эники.. Беники.. Ели.. Вареники..
lore_w_melee_kings_executioner|You can still hear the sound of the King’s Executioner sharpening his blade, waiting for the next poor soul to meet their fate.|До сих пор слышен скрежет, с которым палач точит клинок в ожидании очередной несчастной души.
lore_w_melee_shishkebab|Fresh and tasty, but very hot!!|Свежий и сочный, но очень горячий!!
lore_w_melee_stormslayer|Signed by bard..|Подписано бардом...
lore_w_melee_blood_moon_crescent|An ancient sword used to rule the masses by summoning and siphoning the blood moons presence painting the lands and sky red..|Древний меч, использовавшийся для власти над толпой. Он взывает к кровавой луне, окрашивая землю и небо в алый цвет...
lore_w_melee_stofflix_cooking_cleaver|Sian-San once tried to lift this epic cooking cleaver but by not being worthy of wielding it burned his hands.. |Сиан-Сан пытался поднять этот легендарный поварской тесак, но обжег руки, будучи недостойным его.
lore_w_melee_pit_fighters_skullcracker|Cracking skulls since the 70´s in pits across the world!|Дробит черепа в ямах по всему миру еще с 70-х!
lore_w_melee_pit_fighters_brutalizer|Dominating and brutalizing any pit anywhere at any time!|Подавляет и сокрушает любого противника в любой яме, в любое время!
lore_w_melee_metal_vocalists_warlock|Echoing the sound of true metal..|Эхо истинного металла...
lore_w_melee_fenrirs_bloodfang|Fang of the ancient wolf god fenrir who slaid gods and demons, but couldn´t catch a single fish from the rivers..|Клык древнего бога-волка Фенрира, который сражал богов и демонов, но не мог поймать ни единой рыбешки в реке...
||
[weapon_throwing]||
normal_throwing_throwing_axe|Throwing Axe|Метательный топор
normal_throwing_battle_darts|Battle Darts|Боевые дротики
normal_throwing_throwing_disc|Throwing Disc|Метательный диск
normal_throwing_harpoon|Harpoon|Гарпун
normal_throwing_javelin|Javelin|Сулица
normal_throwing_pilum|Pilum|Пилум
normal_throwing_simbilan|Simbilan|Симбилан
normal_throwing_short_spear|Short Spear|Короткое копье
normal_throwing_throwing_spear|Throwing Spear|Метательное копье
||
[weapon_throwing_unique]||
w_throwing_mimirs_corrupted_axe|Mimir's Corrupted Axe|Оскверненный топор Мимира
w_throwing_scarred_battle_darts|Scarred Battle Darts|Зазубренные дротики
w_throwing_wakaykas_tomahawk|Wakayka's Tomahawk|Томагавк Вакайки
w_throwing_imperial_glaive|Imperial Glaive|Имперская глефа
w_throwing_ukkos_revenge|Ukko's Revenge|Месть Укко
w_throwing_wargods_wrath|Wargod's Wrath|Гнев бога войны
w_throwing_st_neris_rainbow_lance|St. Neri's Rainbow Lance|Радужное копье св. Нери
w_throwing_serpents_tooth|Serpent's Tooth|Змеиный клык
w_throwing_crystal_infused_javelin|Crystal Infused Javelin|Кристаллическая сулица
w_throwing_valkyries_thunder_javelin|Valkyrie's Thunder Javelin|Громовая сулица валькирии
w_throwing_deep_sea_glaive|Deep Sea Glaive|Глубоководная глефа
w_throwing_sawyers_javelin_of_devastation|Sowyer's Javelin of Devastation|Сулица опустошения Сойера
w_throwing_sidewinder|Sidewinder|Рогатый гремучник
||
lore_w_throwing_scarred_battle_darts|Said to contain vampiric powers within to leech the life force of the victim.|Говорят, в них заключена вампирическая сила, иссушающая жизнь жертвы.
lore_w_throwing_ukkos_revenge|As Ukko was betrayed by his own, the havoc is laid on those deserving a brutal death.|Укко был предан своими, и теперь его гнев обрушивается на всех, кто заслуживает лютой смерти.
lore_w_throwing_st_neris_rainbow_lance|As a rainbow descends from the heavens, Saint Neri, the Angel Warrior, rides upon it with their lance ready for combat against evil.|Когда радуга сходит с небес, святой Нери, ангел-воитель, мчится по ней с копьем наперевес, готовый к битве со злом.
lore_w_throwing_sidewinder|[9 / 5 / -3 / 1]|[9 / 5 / -3 / 1]
||
[weapon_spell]||
normal_spell_gnarled_staff|Gnarled Staff|Узловатый посох
normal_spell_cane|Cane|Трость
normal_spell_arcane_fork|Arcane Fork|Мистические вилы
normal_spell_spellblade|Spellblade|Магический клинок
normal_spell_wand|Wand|Жезл
normal_spell_magic_tome|Magic Tome|Магический том
normal_spell_yew_wand|Yew Wand|Тисовый жезл
||
[weapon_spell_unique]||
w_spell_spellshard|Spellshard|Осколок заклинания
w_spell_the_iris|The Iris|Ирида
w_spell_staff_of_nether_flame|Staff of Nether Flame|Посох пламени Пустоты
w_spell_archangel_staff|Archangel Staff|Посох архангела
w_spell_the_oculus|Oculus of Ages|Око веков
w_spell_gods_benevolence|God's Benevolence|Божья благодать
w_spell_satans_unholy_bible|Satan's Unholy Bible|Нечестивая библия Сатаны
w_spell_book_of_revelations|Book of Revelations|Книга Откровения
w_spell_damiens_head|Damien's Head|Голова Дэмиена
w_spell_clafaxier|Clafaxier|Клафаксье
w_spell_raise_of_dead|Raise of the Dead|Восстание мертвецов
w_spell_dragons_breath|Dragon's Breath|Дыхание дракона
w_spell_apocalypto|Apocalypto|Апокалипто
w_spell_steves_wand_of_fortune|Steve's Wand of Fortune|Жезл удачи Стива
w_spell_st_houdeaniis_tiny_fire_rod|St. HouDeanii's Tiny Fire Rod|Огненная палочка св. Гудини
w_spell_wormclaw|Wormclaw|Коготь червя
w_spell_beacon_of_shadows|Beacon of Shadows|Маяк теней
w_spell_crystal_infused_wand|Crystal Infused Wand|Кристаллический жезл
w_spell_zealots_book_of_prophecy|Zealot's Book of Prophecy|Книга пророчеств фанатика
w_spell_uabels_wand|Uabel's Wand|Жезл Уабель
w_spell_battle_mages_wand|Battle Mage's Wand|Жезл боевого мага
w_spell_spell_eater|Spell Eater|Пожиратель заклинаний
w_spell_blood_of_abaddon|Blood of Abaddon|Кровь Абаддона
w_spell_ancient_sun_beacon|Ancient Sun Beacon|Древний солнечный маяк
w_spell_the_eye_of_tarethiel|The Eye of Tarethiel|Око Таретиэля
w_spell_sands_of_time|Sands of Time|Пески времени
w_spell_crystal_infused_wand|Crystal Cane of Ice|Кристальная ледяная трость
w_spell_cane_of_tundra|Cane of the Tundra|Трость тундры
w_spell_book_of_cold_death|Book of Cold Death|Книга холодной смерти
w_spell_thorn_of_helheim|Thorn of Helheim|Шип Хельхейма
w_spell_flame_of_phoenix|Flame of the Phoenix|Пламя феникса
w_spell_hypothermia|Hypothermia|Гипотермия
w_spell_nimosLightbringer|St. Nimo's Lightbringer|Несущий свет св. Нимо
w_spell_solar_prophets_tablet|Solar Prophet's Tablet|Скрижаль солнечного пророка
w_spell_pagan_gods_blasphemy|Pagan God's Blasphemy|Богохульство языческого бога
w_spell_voodoo_magicians_skull|Voodoo Magician's Skull|Череп колдуна вуду
w_spell_wraithbone|Wraithbone|Призрачная кость
w_spell_clafaxiers_legacy|Clafaxier's Legacy|Наследие Клафаксье
w_spell_mystical_wand_of_manastream|Manafunneler´s Conjurer|Призыватель Мановорота
w_spell_crackling_thunder|Crackling Thunder|Трескучий гром
w_spell_necrobutchers_curse|Necrobutcher´s Curse|Проклятие Некромясника
w_spell_crows_whisper|Crow´s Whisper|Шепот ворона
w_spell_damiens_corrupted_head|Damien´s Corrupted Head|Оскверненная голова Дэмиена
w_spell_witchs_wand|Witch´s Wand|Ведьмин жезл
||
lore_w_spell_nimosLightbringer|They will kneel before the might of light, for they are the bringer of the sacred, a morning star.|Они преклонятся перед силой света, ибо он несет святыню, утреннюю звезду.
lore_w_spell_st_houdeaniis_tiny_fire_rod|Said to have lighten the eternal flame, a powerful magic item to aid those in need.|Говорят, этот предмет зажег вечное пламя — могущественный артефакт в помощь нуждающимся.
lore_w_spell_spell_eater|Devour the spells of your enemies and infuse the energy to your own as you battle the darkness.|Пожирайте заклинания врагов и обращайте их энергию в свою пользу в битве с тьмой.
lore_w_spell_blood_of_abaddon|Blood shed to the altar and by demonic forces arise; the staff of an Arch Demon.|Кровь, пролитая на алтаре демоническими силами. Посох Архидемона.
lore_w_spell_hypothermia|As cold as the heart of the grim reaper, the blade that cuts through souls.|Холодный, как сердце Мрачного Жнеца — клинок, пронзающий души.
lore_w_spell_beacon_of_shadows|Harness the very essence of darkness itself, drawing power from the concealed corners of the world.|Обуздайте саму суть тьмы, черпая силу из самых потаенных уголков мира.
lore_w_spell_pagan_gods_blasphemy|All hail the false prophet! AVE SATANAS!|Славься, лжепророк! AVE SATANAS!
lore_w_spell_mystical_wand_of_manastream|The one who sparked the manaflame shall live on.|Тот, кто зажег пламя маны, будет жить вечно.
lore_w_spell_crackling_thunder|Can you hear the echo of the roaring storm?|Слышишь эхо бушующего шторма?
lore_w_spell_necrobutchers_curse|From ashes to ashes and dust to dust..|Из пепла в пепел, из праха в прах...
lore_w_spell_crows_whisper|Who wields this staff has the crows power..|Владеющий этим посохом обретает силу ворона...
||
[weapon_bow]||
normal_bow_crossbow|Crossbow|Арбалет
normal_bow_short_war_bow|Short War Bow|Короткий боевой лук
normal_bow_long_bow|Long Bow|Длинный лук
normal_bow_gothic_bow|Gothic Bow|Готический лук
||
[weapon_bow_unique]||
w_bow_buriza|Buriza-ko-nu|Буриза-до-кю
w_bow_windforce|Wind's Force|Сила ветра
w_bow_poison_ivy|Poison Ivy|Ядовитый плющ
w_bow_glimmerfury|Glimmerfury|Ярость мерцания
w_bow_flamebringer|Flamebringer|Носитель пламени
w_bow_steves_punchbow|Steve's Punchbow|Ударный лук Стива
w_bow_st_soloyolos_holy_bow|St. Soloyolo's Holy Bow|Святой лук св. Солойолы
w_bow_marksmans_hunting_bow|Marksman's Hunting Bow|Охотничий лук стрелка
w_bow_shadowfury|Shadowfury|Ярость теней
w_bow_electro|Electro|Электро
w_bow_hellspawn_eradicator|Hellspawn Eradicator|Истребитель исчадий
w_bow_deathquill|Deathquill|Смертоносное перо
w_bow_recurving_corrosion|Recurving Corrosion|Рекурсивная коррозия
w_bow_st_amithiels_truth|St. Amitiel's Truth|Истина св. Амитиэля
w_bow_astral_projector|Astral Projector|Астральный излучатель
w_bow_arachno_phobia|Arachno Phobia|Арахнофобия
w_bow_monsoon|Monsoon|Муссон
w_bow_arrow_of_niflheim|Arrow of Niflheim|Стрела Нифльхейма
w_bow_eternity|Eternity|Вечность
w_bow_arrow_of_zamjo|Arrow of Zamjo|Стрела Замджо
||
lore_w_bow_recurving_corrosion|When the toxic poison eats you from the inside, scorching your veins, there is only one way out.|Когда яд разъедает тебя изнутри, выжигая вены, остается лишь один выход.
lore_w_bow_st_soloyolos_holy_bow|Facing the horrors of the dark entity alone, Saint SoloYolo paved the way for all creation alone with his trusted bow blessed by the light.|Противостоя в одиночку ужасам темной сущности, святой Солойола проложил путь всему сущему своим верным луком, благословленным светом.
lore_w_bow_deathquill|Almost as black as the soul of the necromancer who crafted this weapon, so is the death for the victims of this bow.|Смерть от этого лука столь же черна, как душа некроманта, создавшего его.
lore_w_bow_shadowfury|With each arrow loosed, the bow releases a shadow-infused projectile that pierces the fabric of reality itself, leaving a temporary rift in its wake.|С каждой выпущенной стрелой лук исторгает снаряд тьмы, пронзающий саму ткань реальности и оставляющий за собой временной разлом.
lore_w_bow_st_amithiels_truth|Truth is the ultimate killer..|Истина — лучший убийца...
lore_w_bow_astral_projector|Birthed by immense pressure within the quantum realm..|Рожден под колоссальным давлением в квантовом мире...
lore_w_bow_arrow_of_niflheim|A glyphfrosted bow crafted by the ancient vikings in Niflheim..|Покрытый морозными глифами лук, созданный древними викингами в Нифльхеме...
lore_w_bow_eternity|Existing for an eternity.. Nobody knows who built this ancient killing machine..|Вечный предмет... Никто не знает, кто создал это древнее орудие смерти...
lore_w_bow_arrow_of_zamjo|The essence of thunder imbued into this ancient bow..|Сама суть грома, заключенная в древнем луке...
||
[weapon_claw]||
normal_claw_wrist_blades|Wrist Blades|Наручные лезвия
normal_claw_blade_talons|Blade Talons|Острые когти
normal_claw_feral_claws|Feral Claws|Дикие когти
||
[weapon_claw_unique]||
w_claw_storm_fury|Storm Fury|Ярость шторма
w_claw_molten_paw|Molten Paw|Пылающая лапа
w_claw_hemorrhage|Hemorrhage|Кровотечение
w_claw_yoshis_throat_cutters|Yoshi's Throat-Cutters|Глоторезы Йоши
w_claw_elemental_claws|Elemental Claws|Стихийные когти
w_claw_talons_of_wisdom|Talons of Wisdom|Когти мудрости
w_claw_earth_shapers_talons|Earth Shaper's Talons|Когти Формирователя Земли
w_claw_spirit_walkers_guides|Spirit Walker's Guide|Проводник духохода
w_claw_glacier_talon|Glacier Talons|Ледниковые когти
||
lore_w_claw_storm_fury|High in the ethereal peaks amidst clouds, this lightning-infused claw took form, wrought by the hands of angels and ancient shamans. Whispers speak of a potent force, a lightning totem's essence bound within, fueling legends of untamed power.|Высоко на неземных пиках среди облаков руками ангелов и древних шаманов был выкован этот заряженный молнией коготь. Слухи гласят о великой силе заключенного внутри тотема, питающего легенды о необузданной мощи.
||
[weapon_polearm]||
normal_polearm_spear|Spear|Копье
normal_polearm_tribal_spear|Tribal Spear|Племенное копье
normal_polearm_royal_lance|Royal Lance|Королевская пика
normal_polearm_war_trident|War Trident|Боевой трезубец
normal_polearm_battle_lance|Battle Lance|Боевая пика
normal_polearm_hyperion_spear|Hyperion Spear|Копье Гипериона
normal_polearm_yari|Yari|Яри
normal_polearm_fuscina|Fuscina|Фусцина
normal_polearm_war_spear|War Spear|Боевое копье
||
[weapon_spear_unique]||
w_polearm_crusader_halberd|Crusader Halberd|Алебарда крестоносца
w_polearm_poseidons_might|Poseidon's Might|Мощь Посейдона
w_polearm_odins_battle_spear|Odin's Battle Spear|Боевое копье Одина
w_polearm_vanguards_lance|Vanguard's Lance|Пика авангарда
w_polearm_war_gods_lance|War God's Lance|Пика бога войны
w_polearm_jousting_lance|Jousting Lance|Турнирное копье
w_polearm_golden_gods_gladius|Golden God's Gladius|Гладиус золотого бога
w_polearm_st_draxis_pigstick|St. Draxis' Pigstick|Кабаний рогатин св. Драксиса
w_polearm_lancers_glory|Lancer's Glory|Слава улана
w_polearm_champions_flag_lance|Champion's Flag Lance|Копьеносное знамя воителя
w_polearm_dark_knights_lance|Dark Knight's Lance|Пика темного рыцаря
w_polearm_brimskull_trident|Brimskull Trident|Трезубец Бримскулла
w_polearm_thorn_of_noxus|Thorn of Noxus|Шип Ноксуса
||
lore_w_polearm_dark_knights_lance|Tales tell a story of a knight with pitch-black armor, a noble nomad who roams Tarethiel, helping people in trouble. Her lance is crafted from the finest materials and plated with gold.|Легенды рассказывают о рыцаре в черных как смоль доспехах — благородном кочевнике, что странствует по Таретиэлю, помогая нуждающимся. Ее пика создана из лучших материалов и покрыта золотом.
lore_w_polearm_st_draxis_pigstick|This polearm is unlike any other weapon in the world. Its name, seemingly whimsical, held a deeper meaning, symbolizing the avoidance of bloodshed even in the face of danger.|Это древко не похоже ни на одно другое. Его название, кажущееся шутливым, таит глубокий смысл, символизируя предотвращение кровопролития даже пред лицом опасности.
lore_w_polearm_brimskull_trident|Conjured into existence from the beyond, a place darker than your worst nightmare..|Вызван из иного мира — места более мрачного, чем твой худший кошмар...
lore_w_polearm_thorn_of_noxus|Wielded by a god of war.. A weapon able to penetrate any armor, living or dead..|Оружие бога войны... Оно способно пробить любой доспех, будь его владелец жив или мертв...
||
[weapon_gun]||
normal_gun_hand_cannon|Hand Cannon|Ручная мортира
normal_gun_hunting_rifle|Hunting Rifle|Охотничье ружье
normal_gun_gatling_gun|Gatling Gun|Пулемет Гатлинга
normal_gun_battle_blaster|Battle Blaster|Боевой бластер
||
[weapon_gun_unique]||
w_gun_rtx_xqc_4910|RT XQC-4910|RT XQC-4910
w_gun_vampire_hunter|Vampire Hunter|Истребитель вампиров
w_gun_flamecannon|Flamecannon|Огненная пушка
w_gun_warbringer|Warbringer|Вестник войны
w_gun_jack|Jack|Джек
w_gun_fred|Fred|Фред
w_gun_steves_bang|Steve's Bang|Бабах Стива
w_gun_chills_of_war|Chills of War|Холод войны
w_gun_st_brooks_elementium_pistol|Commander´s Sentry Blaster|Бластер стража-командира
w_gun_marines_buddy|Marine's Buddy|Напарник морпеха
w_gun_demon|Demon|Демон
w_gun_angel|Angel|Ангел
w_gun_crystal_infused_pistol|Crystal Infused Pistol|Кристаллический пистолет
w_gun_f4_tactical_rifle|F4-Tactical Rifle|Тактическая винтовка F4
w_gun_dreadnought|Dreadnought|Дредноут
w_gun_ak47|AK-47|АК-47
w_gun_glock22|Glock 22|Глок 22
w_gun_draculas_demise|Dracula´s Demise|Гибель Дракулы
||
